!Series_title	"Hemispheric asymmetry in the human brain and in Parkinson’s disease is linked to divergent epigenetic patterns in neurons [RNA-seq]"
!Series_geo_accession	"GSE135036"
!Series_status	"Public on Feb 12 2020"
!Series_submission_date	"Jul 29 2019"
!Series_last_update_date	"Mar 12 2020"
!Series_pubmed_id	"32151270"
!Series_summary	"Background"
!Series_summary	"Hemispheric asymmetry in neuronal processes is a fundamental feature of the human brain and drives symptom lateralization in Parkinson's disease (PD), but its molecular determinants are unknown. Here, we identify divergent epigenetic patterns involved in hemispheric asymmetry by profiling DNA methylation in isolated prefrontal cortex neurons from control and PD brain hemispheres. DNA methylation is fine-mapped at enhancers and promoters, genome-wide, by targeted bisulfite sequencing in two independent sample cohorts. "
!Series_summary	""
!Series_summary	"Results"
!Series_summary	"We find that neurons of the human prefrontal cortex exhibit hemispheric differences in DNA methylation. Hemispheric asymmetry in neuronal DNA methylation patterns is largely mediated by differential CpH methylation, and chromatin conformation analysis finds that it targets thousands of genes. With aging, there is a loss of hemispheric asymmetry in neuronal epigenomes, such that hemispheres epigenetically converge in late life. In neurons of PD patients, hemispheric asymmetry in DNA methylation is greater than in controls and involves many PD risk genes. Epigenetic, transcriptomic, and proteomic differences between PD hemispheres correspond to the lateralization of PD symptoms, with abnormalities being most prevalent in the hemisphere matched to side of symptom predominance. Hemispheric asymmetry and symptom lateralization in PD is linked to genes affecting neurodevelopment, immune activation, and synaptic transmission. PD patients with a long disease course have greater hemispheric asymmetry in neuronal epigenomes than those with a short disease course."
!Series_summary	""
!Series_summary	"Conclusions"
!Series_summary	"Hemispheric differences in epigenetic gene regulation are prevalent in neurons and may affect the progression and symptoms of PD. "
!Series_overall_design	"In order to determine whether epigenetic divergence across hemispheres is relevant to hemispheric asymmetry in transcriptional patterns, we used RNA-sequencing to perform a transcriptional analysis in the prefrontal cortex of hemisphere of PD with known side of symptom predominance (n=36 individuals: 13 matched PD hemisphere, 11 unmatched PD hemisphere and controls n=12)"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Peipei,,Li"
!Series_contributor	"Elizabeth,,Ensink"
!Series_contributor	"Sean,,Lang"
!Series_contributor	"Lee,,Marshall"
!Series_contributor	"Meghan,,Schilthuis"
!Series_contributor	"Jared,,Lamp"
!Series_contributor	"Irving,,Vega"
!Series_contributor	"Viviane,,Labrie"
!Series_sample_id	"GSM3984151 GSM3984152 GSM3984153 GSM3984154 GSM3984155 GSM3984156 GSM3984157 GSM3984158 GSM3984159 GSM3984160 GSM3984161 GSM3984162 GSM3984163 GSM3984164 GSM3984165 GSM3984166 GSM3984167 GSM3984168 GSM3984169 GSM3984170 GSM3984171 GSM3984172 GSM3984173 GSM3984174 GSM3984175 GSM3984176 GSM3984177 GSM3984178 GSM3984179 GSM3984180 GSM3984181 GSM3984182 GSM3984183 GSM3984184 GSM3984185 GSM3984186 "
!Series_contact_name	"Peipei,,Li"
!Series_contact_email	"Lipeipei0611@gmail.com"
!Series_contact_phone	"6162345547"
!Series_contact_laboratory	"Labrie lab"
!Series_contact_department	"Center for Neurodegenerative Science"
!Series_contact_institute	"Van Andel Research Institute"
!Series_contact_address	"333 Bostwick Ave N.E."
!Series_contact_city	"Grand Rapids"
!Series_contact_state	"MI"
!Series_contact_zip/postal_code	"49503"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135036/suppl/GSE135036_RAW.tar"
!Series_platform_id	"GPL18573"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"SubSeries of: GSE135037"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA557205"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP216705"

!Sample_title	"41"	"51"	"79"	"81"	"106"	"194"	"216"	"226"	"239"	"268"	"286"	"317"	"338"	"340"	"348"	"366"	"368"	"387"	"398"	"423"	"458"	"460"	"466"	"471"	"700"	"5657"	"5661"	"AN02888"	"AN5209"	"AN09933"	"AN10592"	"CO36"	"CO37"	"Hct15HBA007"	"Hct15HBC005"	"HctZZJ006"
!Sample_geo_accession	"GSM3984151"	"GSM3984152"	"GSM3984153"	"GSM3984154"	"GSM3984155"	"GSM3984156"	"GSM3984157"	"GSM3984158"	"GSM3984159"	"GSM3984160"	"GSM3984161"	"GSM3984162"	"GSM3984163"	"GSM3984164"	"GSM3984165"	"GSM3984166"	"GSM3984167"	"GSM3984168"	"GSM3984169"	"GSM3984170"	"GSM3984171"	"GSM3984172"	"GSM3984173"	"GSM3984174"	"GSM3984175"	"GSM3984176"	"GSM3984177"	"GSM3984178"	"GSM3984179"	"GSM3984180"	"GSM3984181"	"GSM3984182"	"GSM3984183"	"GSM3984184"	"GSM3984185"	"GSM3984186"
!Sample_status	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"	"Public on Feb 12 2020"
!Sample_submission_date	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"	"Jul 29 2019"
!Sample_last_update_date	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"	"Feb 12 2020"
!Sample_type	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"PD_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"	"Control_Brain prefrontal cortex"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Parkinson’s disease (PD)"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"	"diagnosis: Control"
!Sample_characteristics_ch1	"age: 77"	"age: 80"	"age: 78"	"age: 73"	"age: 75"	"age: 71"	"age: 78"	"age: 78"	"age: 81"	"age: 72"	"age: 82"	"age: 70"	"age: 78"	"age: 67"	"age: 78"	"age: 69"	"age: 83"	"age: 81"	"age: 74"	"age: 66"	"age: 73"	"age: 81"	"age: 72"	"age: 77"	"age: 79"	"age: 82"	"age: 70"	"age: 77"	"age: 73"	"age: 73"	"age: 68"	"age: 68"	"age: 84"	"age: 71"	"age: 83"	"age: 70"
!Sample_characteristics_ch1	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: F"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"	"Sex: M"
